##Serial	Clusters	Nspe	Npmb	NLys
0	41	5084	188	152
1	39	5494	224	156
2	37	5810	250	142
3	34	5832	252	150
4	32	5920	258	166
5	36	5924	268	162
6	34	5984	282	160
7	38	5972	280	172
8	33	5972	282	168
9	33	5916	272	164
10	32	5878	266	164
11	32	5862	262	176
12	31	5868	256	164
13	34	5906	270	176
14	31	5902	274	164
15	29	5920	284	170
16	27	5894	300	162
17	30	5944	268	184
18	30	5948	268	172
19	30	5910	266	174
20	30	5956	278	174
21	31	5962	270	176
22	30	5980	280	172
23	29	6008	268	190
24	29	5980	280	180
25	30	6004	292	194
26	29	5996	272	184
27	30	6016	286	182
28	29	6038	300	176
29	31	6072	290	186
30	29	6032	286	194
31	32	5996	290	190
32	29	6026	300	180
33	30	5948	272	182
34	30	6016	304	180
35	31	6068	294	194
36	29	6074	294	188
37	32	6052	272	188
38	33	6100	292	202
39	33	6022	298	188
40	33	5948	294	182
41	32	6024	292	184
42	32	6010	310	194
43	30	5952	292	184
44	29	5996	300	196
45	29	5980	310	194
46	31	6024	306	192
47	28	5962	316	186
48	32	5960	286	206
49	32	5930	290	192
50	30	5906	292	186
51	31	5986	306	182
52	33	6018	302	190
53	31	5936	300	198
54	30	5932	300	200
55	31	5894	298	194
56	29	5926	306	194
57	28	6040	316	202
58	29	6016	286	198
59	29	6010	292	208
60	30	6054	304	214
61	30	5970	284	196
62	29	5980	288	194
63	28	5988	304	196
64	28	6000	308	194
65	30	6022	308	188
66	31	6048	314	196
67	28	6030	326	202
68	27	6040	322	194
69	29	6086	318	198
70	27	6128	318	204
71	26	6186	298	196
72	27	6106	312	206
73	27	6036	322	210
74	28	6038	312	204
75	28	6042	306	196
76	29	6014	306	194
77	29	5972	300	194
78	27	6008	310	202
79	28	6132	314	212
80	28	6078	304	204
81	28	6152	298	214
82	26	6170	312	204
83	24	6178	308	212
84	25	6170	310	206
85	27	6226	302	204
86	25	6222	304	200
87	25	6188	298	198
88	27	6266	298	204
89	24	6176	308	212
90	25	6206	312	198
91	25	6222	300	202
92	27	6274	302	206
93	27	6228	312	220
94	26	6144	282	208
95	25	6230	302	212
96	25	6280	294	214
97	26	6188	306	206
98	24	6244	320	206
99	24	6230	330	196
100	25	6250	314	212
101	26	6314	342	204
102	27	6212	348	204
103	26	6258	334	226
104	25	6188	322	234
105	26	6266	316	224
106	26	6338	314	238
107	27	6408	316	226
