bond1	b111
bond2	b112
bond3	b113
bond4	b114
bond5	b115
bond6	b116
bond7	b117
bond8	b118
bond9	b119
bond10	b1110
bondNB	b1111
bondCB	b1112
bond-XBB1-A11	b121
bond-XBB2-C11	b122
bond-XBB3-A21	b123
bond-XBB4-A31	b124
bond-XBB5-B11	b125
bond-XBB6-A41	b126
bond-XBB7-A51	b127
bond-XBB8-C21	b128
bond-XBB9-A61	b129
bond-XBB10-A71	b1210
bond-XBB11-B21	b1211
bond-YC-A81	b1212
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE2	b131
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE1-NSPE3	b132
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE3-NSPE4	b133
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE4-NSPE5	b134
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NSPE3-NSPE5	b135
NLYS1-NLYS2	b141
NLYS1-NLYS2	b141
NLYS2-NLYS3	b142
NLYS2-NLYS3	b142
PMEO1-PMEO2	b151
PMEO1-PMEO2	b151
PMEO2-PMEO3	b152
PMEO2-PMEO3	b152
PMEO3-PMEO4	b153
PMEO3-PMEO4	b153
PMEO2-PMEO4	b154
PMEO2-PMEO4	b154
PMEO3-PMEO5	b155
PMEO3-PMEO5	b155
