[1, '  3.508', '  0.967', '  0.229', 'YN']
[2, '  3.626', '  1.177', '  0.034', 'XBB1']
[3, '  3.805', '  0.993', '  0.027', 'A11']
[4, '  3.853', '  0.946', '  0.175', 'A12']
[5, '  3.834', '  0.806', ' -0.048', 'A13']
[6, '  3.891', '  0.668', ' -0.206', 'A14']
[7, '  3.843', '  0.877', ' -0.263', 'A15']
[8, '  3.630', '  1.417', ' -0.183', 'XBB2']
[9, '  3.625', '  1.504', '  0.057', 'C11']
[10, '  3.746', '  1.648', '  0.133', 'C12']
[11, '  3.854', '  1.819', '  0.280', 'C13']
[12, '  3.721', '  1.536', ' -0.428', 'XBB3']
[13, '  3.477', '  1.516', ' -0.465', 'A21']
[14, '  3.359', '  1.449', ' -0.374', 'A22']
[15, '  3.404', '  1.644', ' -0.589', 'A23']
[16, '  3.277', '  1.803', ' -0.667', 'A24']
[17, '  3.344', '  1.814', ' -0.452', 'A25']
[18, '  3.877', '  1.726', ' -0.599', 'XBB4']
[19, '  3.946', '  1.530', ' -0.739', 'A31']
[20, '  3.851', '  1.496', ' -0.868', 'A32']
[21, '  3.985', '  1.332', ' -0.693', 'A33']
[22, '  4.112', '  1.165', ' -0.627', 'A34']
[23, '  4.192', '  1.373', ' -0.625', 'A35']
[24, '  3.986', '  2.047', ' -0.588', 'XBB5']
[25, '  4.042', '  1.885', ' -0.411', 'B11']
[26, '  4.239', '  1.847', ' -0.397', 'B12']
[27, '  4.421', '  1.740', ' -0.380', 'B13']
[28, '  4.231', '  1.625', ' -0.379', 'B14']
[29, '  4.546', '  1.534', ' -0.370', 'B15']
[30, '  3.957', '  2.010', ' -0.950', 'XBB6']
[31, '  4.141', '  2.151', ' -0.817', 'A41']
[32, '  4.262', '  2.042', ' -0.769', 'A42']
[33, '  4.256', '  2.213', ' -0.982', 'A43']
[34, '  4.336', '  2.355', ' -1.124', 'A44']
[35, '  4.164', '  2.412', ' -1.003', 'A45']
[36, '  4.073', '  1.735', ' -1.044', 'XBB7']
[37, '  3.968', '  1.822', ' -1.257', 'A51']
[38, '  3.804', '  1.837', ' -1.251', 'A52']
[39, '  3.989', '  1.985', ' -1.379', 'A53']
[40, '  4.107', '  2.110', ' -1.511', 'A54']
[41, '  4.214', '  1.949', ' -1.403', 'A55']
[42, '  4.312', '  1.586', ' -1.206', 'XBB8']
[43, '  4.119', '  1.437', ' -1.289', 'C21']
[44, '  4.059', '  1.442', ' -1.476', 'C22']
[45, '  3.959', '  1.391', ' -1.714', 'C23']
[46, '  4.583', '  1.547', ' -1.036', 'XBB9']
[47, '  4.588', '  1.774', ' -1.142', 'A61']
[48, '  4.531', '  1.822', ' -1.291', 'A62']
[49, '  4.606', '  1.967', ' -1.077', 'A63']
[50, '  4.620', '  2.126', ' -0.932', 'A64']
[51, '  4.578', '  1.924', ' -0.855', 'A65']
[52, '  4.788', '  1.304', ' -0.984', 'XBB10']
[53, '  4.822', '  1.469', ' -0.805', 'A71']
[54, '  4.691', '  1.535', ' -0.729', 'A72']
[55, '  5.005', '  1.551', ' -0.832', 'A73']
[56, '  5.176', '  1.678', ' -0.823', 'A74']
[57, '  4.975', '  1.757', ' -0.757', 'A75']
[58, '  4.934', '  1.089', ' -1.144', 'XBB11']
[59, '  4.691', '  1.015', ' -1.162', 'B21']
[60, '  4.648', '  0.970', ' -0.974', 'B22']
[61, '  4.574', '  0.969', ' -0.772', 'B23']
[62, '  4.478', '  1.105', ' -0.920', 'B24']
[63, '  4.495', '  0.987', ' -0.573', 'B25']
[64, '  5.177', '  1.142', ' -1.208', 'YC']
[65, '  5.299', '  1.218', ' -1.138', 'A81']
[66, '  5.285', '  1.378', ' -1.181', 'A82']
[67, '  5.263', '  1.156', ' -0.937', 'A83']
[68, '  5.276', '  1.145', ' -0.722', 'A84']
[69, '  5.402', '  1.290', ' -0.828', 'A85']
[70, '  0.330', '  2.613', '  3.188', 'WAT']
[71, '  0.039', '  3.986', '  1.029', 'WAT']
[72, '  1.842', '  3.918', '  1.083', 'WAT']
[73, '  2.479', '  3.619', '  0.655', 'WAT']
