i	j	StartingPoint	SmoothStart
Nterm	Nterm	GOOD	GOOD
Nterm	BBstandard	GOOD	GOOD
Nterm	NSPE1	GOOD	GOOD
Nterm	NSPE2	GOOD	GOOD
Nterm	NSPE3	GOOD	BAD
Nterm	NSPE4	GOOD	GOOD
Nterm	NSPE5	GOOD	GOOD
Nterm	NLYS1	GOOD	GOOD
Nterm	NLYS2	GOOD	GOOD
Nterm	NLYS3	GOOD	GOOD
Nterm	PMEO1	GOOD	GOOD
Nterm	PMEO2	GOOD	GOOD
Nterm	PMEO3	GOOD	GOOD
Nterm	PMEO4	GOOD	GOOD
Nterm	PMEO5	GOOD	GOOD
Nterm	Cterm	GOOD	GOOD
Nterm	I	GOOD	GOOD
BBstandard	BBstandard	GOOD	GOOD
BBstandard	NSPE1	GOOD	GOOD
BBstandard	NSPE2	GOOD	GOOD
BBstandard	NSPE3	GOOD	GOOD
BBstandard	NSPE4	GOOD	GOOD
BBstandard	NSPE5	GOOD	GOOD
BBstandard	NLYS1	GOOD	GOOD
BBstandard	NLYS2	GOOD	GOOD
BBstandard	NLYS3	GOOD	GOOD
BBstandard	PMEO1	GOOD	GOOD
BBstandard	PMEO2	GOOD	GOOD
BBstandard	PMEO3	GOOD	GOOD
BBstandard	PMEO4	GOOD	GOOD
BBstandard	PMEO5	GOOD	GOOD
BBstandard	Cterm	GOOD	GOOD
BBstandard	I	GOOD	GOOD
NSPE1	NSPE1	GOOD	GOOD
NSPE1	NSPE2	GOOD	GOOD
NSPE1	NSPE3	GOOD	GOOD
NSPE1	NSPE4	GOOD	GOOD
NSPE1	NSPE5	GOOD	GOOD
NSPE1	NLYS1	GOOD	GOOD
NSPE1	NLYS2	GOOD	GOOD
NSPE1	NLYS3	GOOD	GOOD
NSPE1	PMEO1	GOOD	GOOD
NSPE1	PMEO2	GOOD	GOOD
NSPE1	PMEO3	GOOD	GOOD
NSPE1	PMEO4	GOOD	GOOD
NSPE1	PMEO5	GOOD	GOOD
NSPE1	Cterm	GOOD	GOOD
NSPE1	I	GOOD	GOOD
NSPE2	NSPE2	GOOD	GOOD
NSPE2	NSPE3	GOOD	GOOD
NSPE2	NSPE4	GOOD	GOOD
NSPE2	NSPE5	GOOD	GOOD
NSPE2	NLYS1	GOOD	GOOD
NSPE2	NLYS2	GOOD	GOOD
NSPE2	NLYS3	GOOD	GOOD
NSPE2	PMEO1	GOOD	GOOD
NSPE2	PMEO2	GOOD	GOOD
NSPE2	PMEO3	GOOD	GOOD
NSPE2	PMEO4	GOOD	GOOD
NSPE2	PMEO5	GOOD	GOOD
NSPE2	Cterm	GOOD	GOOD
NSPE2	I	GOOD	GOOD
NSPE3	NSPE3	GOOD	GOOD
NSPE3	NSPE4	GOOD	GOOD
NSPE3	NSPE5	GOOD	GOOD
NSPE3	NLYS1	GOOD	GOOD
NSPE3	NLYS2	GOOD	GOOD
NSPE3	NLYS3	GOOD	GOOD
NSPE3	PMEO1	GOOD	GOOD
NSPE3	PMEO2	GOOD	GOOD
NSPE3	PMEO3	GOOD	GOOD
NSPE3	PMEO4	GOOD	GOOD
NSPE3	PMEO5	GOOD	GOOD
NSPE3	Cterm	GOOD	GOOD
NSPE3	I	GOOD	GOOD
NSPE4	NSPE4	GOOD	GOOD
NSPE4	NSPE5	GOOD	GOOD
NSPE4	NLYS1	GOOD	GOOD
NSPE4	NLYS2	GOOD	GOOD
NSPE4	NLYS3	GOOD	GOOD
NSPE4	PMEO1	GOOD	GOOD
NSPE4	PMEO2	GOOD	GOOD
NSPE4	PMEO3	GOOD	GOOD
NSPE4	PMEO4	GOOD	GOOD
NSPE4	PMEO5	GOOD	GOOD
NSPE4	Cterm	GOOD	GOOD
NSPE4	I	GOOD	GOOD
NSPE5	NSPE5	GOOD	GOOD
NSPE5	NLYS1	GOOD	GOOD
NSPE5	NLYS2	GOOD	GOOD
NSPE5	NLYS3	GOOD	GOOD
NSPE5	PMEO1	GOOD	GOOD
NSPE5	PMEO2	GOOD	GOOD
NSPE5	PMEO3	GOOD	GOOD
NSPE5	PMEO4	GOOD	GOOD
NSPE5	PMEO5	GOOD	GOOD
NSPE5	Cterm	GOOD	GOOD
NSPE5	I	GOOD	GOOD
NLYS1	NLYS1	GOOD	GOOD
NLYS1	NLYS2	GOOD	GOOD
NLYS1	NLYS3	GOOD	GOOD
NLYS1	PMEO1	GOOD	GOOD
NLYS1	PMEO2	GOOD	GOOD
NLYS1	PMEO3	GOOD	GOOD
NLYS1	PMEO4	GOOD	GOOD
NLYS1	PMEO5	GOOD	GOOD
NLYS1	Cterm	GOOD	GOOD
NLYS1	I	GOOD	GOOD
NLYS2	NLYS2	GOOD	GOOD
NLYS2	NLYS3	GOOD	GOOD
NLYS2	PMEO1	GOOD	GOOD
NLYS2	PMEO2	GOOD	GOOD
NLYS2	PMEO3	GOOD	GOOD
NLYS2	PMEO4	GOOD	GOOD
NLYS2	PMEO5	GOOD	GOOD
NLYS2	Cterm	GOOD	GOOD
NLYS2	I	GOOD	GOOD
NLYS3	NLYS3	GOOD	GOOD
NLYS3	PMEO1	GOOD	GOOD
NLYS3	PMEO2	GOOD	GOOD
NLYS3	PMEO3	GOOD	GOOD
NLYS3	PMEO4	GOOD	GOOD
NLYS3	PMEO5	GOOD	GOOD
NLYS3	Cterm	GOOD	GOOD
NLYS3	I	GOOD	GOOD
PMEO1	PMEO1	GOOD	GOOD
PMEO1	PMEO2	GOOD	GOOD
PMEO1	PMEO3	GOOD	GOOD
PMEO1	PMEO4	GOOD	GOOD
PMEO1	PMEO5	GOOD	GOOD
PMEO1	Cterm	GOOD	GOOD
PMEO1	I	GOOD	GOOD
PMEO2	PMEO2	GOOD	GOOD
PMEO2	PMEO3	GOOD	GOOD
PMEO2	PMEO4	GOOD	GOOD
PMEO2	PMEO5	GOOD	GOOD
PMEO2	Cterm	GOOD	GOOD
PMEO2	I	GOOD	GOOD
PMEO3	PMEO3	GOOD	GOOD
PMEO3	PMEO4	GOOD	GOOD
PMEO3	PMEO5	GOOD	GOOD
PMEO3	Cterm	GOOD	GOOD
PMEO3	I	GOOD	GOOD
PMEO4	PMEO4	GOOD	GOOD
PMEO4	PMEO5	GOOD	GOOD
PMEO4	Cterm	GOOD	GOOD
PMEO4	I	GOOD	GOOD
PMEO5	PMEO5	GOOD	GOOD
PMEO5	Cterm	GOOD	GOOD
PMEO5	I	GOOD	GOOD
Cterm	Cterm	GOOD	GOOD
Cterm	I	GOOD	GOOD
I	I	GOOD	GOOD
